drug,cell_line,prediction,OncotreeCode,IC50
5-Fluorouracil,HCC827,5.472933,LUAD,5.191741
ABT737,HCC827,2.832198,LUAD,4.389625
AGI-5198,HCC827,5.063128,LUAD,5.698307
AGI-6780,HCC827,4.925839,LUAD,5.258638
AGK2,HCC827,3.713538,LUAD,4.342128
AZ960,HCC827,2.323411,LUAD,5.047218
AZD3759,HCC827,2.359838,LUAD,-2.602837
AZD4547,HCC827,3.879657,LUAD,3.380675
AZD5363,HCC827,3.367161,LUAD,4.219376
AZD5582,HCC827,1.523502,LUAD,2.972299
AZD6738,HCC827,2.339456,LUAD,2.491286
AZD7762,HCC827,0.612362,LUAD,-0.259637
AZD8186,HCC827,3.186983,LUAD,2.968449
Afatinib,HCC827,0.854371,LUAD,-3.935928
Afuresertib,HCC827,3.461856,LUAD,4.136904
Alpelisib,HCC827,3.738944,LUAD,4.250128
Avagacestat,HCC827,5.425638,LUAD,5.974605
Axitinib,HCC827,4.202879,LUAD,4.678995
BMS-345541,HCC827,3.760483,LUAD,4.410972
BMS-536924,HCC827,2.064626,LUAD,2.067005
BMS-754807,HCC827,3.205099,LUAD,4.120546
Bortezomib,HCC827,-4.627317,LUAD,-4.751015
Bosutinib,HCC827,2.845362,LUAD,-0.149514
Buparlisib,HCC827,1.526273,LUAD,1.703575
CCT007093,HCC827,5.527743,LUAD,5.944281
CZC24832,HCC827,5.534224,LUAD,5.523252
Camptothecin,HCC827,-0.801389,LUAD,-0.321596
Cediranib,HCC827,2.275009,LUAD,0.034428
Crizotinib,HCC827,3.750266,LUAD,3.554618
Cyclophosphamide,HCC827,5.948666,LUAD,7.068307
Dactinomycin,HCC827,-2.756037,LUAD,-3.509835
Dactolisib,HCC827,-1.633770,LUAD,-0.743924
Dasatinib,HCC827,-0.774151,LUAD,-1.569385
Dinaciclib,HCC827,-2.033325,LUAD,-3.045723
Docetaxel,HCC827,-2.018757,LUAD,-0.806449
Doramapimod,HCC827,5.949734,LUAD,6.395796
EHT-1864,HCC827,4.172162,LUAD,4.657623
EPZ004777,HCC827,6.134833,LUAD,5.774092
EPZ5676,HCC827,6.318112,LUAD,5.850756
Entinostat,HCC827,2.765834,LUAD,-0.061344
